CMDLINE /opt/miniconda3/envs/jupyter/bin/python test.py
MEM 44.382812 1596199180.2203
MEM 44.382812 1596199180.3242
MEM 44.382812 1596199180.4277
MEM 44.382812 1596199180.5322
MEM 44.382812 1596199180.6323
MEM 44.382812 1596199180.7359
MEM 44.382812 1596199180.8411
MEM 44.382812 1596199180.9427
MEM 44.382812 1596199181.0458
MEM 44.382812 1596199181.1489
MEM 44.382812 1596199181.2536
MEM 44.382812 1596199181.3586
MEM 44.382812 1596199181.4612
MEM 44.382812 1596199181.5655
MEM 44.382812 1596199181.6700
MEM 44.382812 1596199181.7747
MEM 44.382812 1596199181.8760
MEM 44.382812 1596199181.9802
MEM 44.382812 1596199182.0807
MEM 44.382812 1596199182.1850
MEM 44.382812 1596199182.2861
MEM 44.382812 1596199182.3862
MEM 44.382812 1596199182.4906
MEM 44.382812 1596199182.5909
MEM 44.382812 1596199182.6920
MEM 44.382812 1596199182.7934
MEM 44.382812 1596199182.8951
MEM 44.382812 1596199182.9968
MEM 44.382812 1596199183.0974
MEM 44.382812 1596199183.1996
MEM 44.382812 1596199183.3046
MEM 44.382812 1596199183.4068
MEM 44.382812 1596199183.5104
MEM 44.382812 1596199183.6116
MEM 44.382812 1596199183.7137
MEM 44.382812 1596199183.8139
MEM 44.382812 1596199183.9142
MEM 44.382812 1596199184.0147
MEM 44.382812 1596199184.1158
MEM 44.382812 1596199184.2168
MEM 44.382812 1596199184.3196
MEM 44.382812 1596199184.4241
MEM 44.382812 1596199184.5285
MEM 44.382812 1596199184.6297
MEM 44.382812 1596199184.7330
MEM 44.382812 1596199184.8331
MEM 44.382812 1596199184.9364
MEM 44.382812 1596199185.0412
MEM 44.382812 1596199185.1431
MEM 44.382812 1596199185.2468
MEM 44.382812 1596199185.3481
MEM 44.382812 1596199185.4497
MEM 44.382812 1596199185.5502
MEM 44.382812 1596199185.6512
MEM 44.382812 1596199185.7534
MEM 44.382812 1596199185.8542
MEM 44.382812 1596199185.9571
MEM 44.382812 1596199186.0574
MEM 44.382812 1596199186.1588
MEM 44.382812 1596199186.2620
MEM 44.382812 1596199186.3665
MEM 44.382812 1596199186.4674
MEM 44.382812 1596199186.5696
MEM 44.382812 1596199186.6707
MEM 44.382812 1596199186.7741
MEM 44.382812 1596199186.8743
MEM 44.382812 1596199186.9751
MEM 44.382812 1596199187.0754
MEM 44.382812 1596199187.1756
MEM 44.382812 1596199187.2760
MEM 44.382812 1596199187.3811
MEM 44.382812 1596199187.4814
MEM 44.382812 1596199187.5848
MEM 44.382812 1596199187.6892
MEM 44.382812 1596199187.7907
MEM 44.382812 1596199187.8952
MEM 44.382812 1596199187.9971
MEM 44.382812 1596199188.1001
MEM 44.382812 1596199188.2012
MEM 44.382812 1596199188.3062
MEM 44.382812 1596199188.4110
MEM 44.382812 1596199188.5151
MEM 44.382812 1596199188.6178
MEM 44.382812 1596199188.7179
MEM 44.382812 1596199188.8204
MEM 44.382812 1596199188.9242
MEM 44.382812 1596199189.0265
MEM 44.382812 1596199189.1298
MEM 44.382812 1596199189.2308
MEM 44.382812 1596199189.3324
MEM 44.382812 1596199189.4335
MEM 44.382812 1596199189.5360
MEM 44.382812 1596199189.6362
MEM 44.382812 1596199189.7407
MEM 44.382812 1596199189.8411
MEM 44.382812 1596199189.9425
MEM 44.382812 1596199190.0467
MEM 44.382812 1596199190.1481
MEM 44.382812 1596199190.2533
MEM 44.382812 1596199190.3564
MEM 44.382812 1596199190.4575
MEM 44.382812 1596199190.5626
MEM 44.382812 1596199190.6657
MEM 44.382812 1596199190.7659
MEM 44.382812 1596199190.8674
MEM 44.382812 1596199190.9676
MEM 44.382812 1596199191.0683
MEM 44.382812 1596199191.1686
MEM 44.382812 1596199191.2732
MEM 44.382812 1596199191.3771
MEM 44.382812 1596199191.4809
MEM 44.382812 1596199191.5838
MEM 44.382812 1596199191.6860
MEM 44.382812 1596199191.7908
MEM 44.382812 1596199191.8927
MEM 44.382812 1596199191.9936
MEM 44.382812 1596199192.0957
MEM 44.382812 1596199192.1961
MEM 44.382812 1596199192.2989
MEM 44.382812 1596199192.4039
MEM 44.382812 1596199192.5043
MEM 44.382812 1596199192.6059
MEM 44.382812 1596199192.7110
MEM 44.382812 1596199192.8113
MEM 44.382812 1596199192.9157
MEM 44.382812 1596199193.0167
MEM 44.382812 1596199193.1169
MEM 44.382812 1596199193.2172
MEM 44.382812 1596199193.3196
MEM 44.382812 1596199193.4229
MEM 44.382812 1596199193.5243
MEM 44.382812 1596199193.6256
MEM 44.382812 1596199193.7269
MEM 44.382812 1596199193.8282
MEM 44.382812 1596199193.9329
MEM 44.382812 1596199194.0347
MEM 44.382812 1596199194.1352
MEM 44.382812 1596199194.2388
MEM 44.382812 1596199194.3403
MEM 44.382812 1596199194.4444
MEM 44.382812 1596199194.5488
MEM 44.382812 1596199194.6513
MEM 44.382812 1596199194.7517
MEM 44.382812 1596199194.8522
MEM 44.382812 1596199194.9557
MEM 44.382812 1596199195.0561
MEM 44.382812 1596199195.1610
MEM 44.382812 1596199195.2612
MEM 44.382812 1596199195.3642
MEM 44.382812 1596199195.4648
MEM 44.382812 1596199195.5669
MEM 44.382812 1596199195.6680
